GEOID,Population
05000US01001,3828
05000US01003,10881
05000US01005,3138
05000US01007,1687
05000US01009,5106
05000US01011,688
05000US01013,2276
05000US01015,8813
05000US01017,2773
05000US01019,2401
05000US01021,3190
05000US01023,1603
05000US01025,2114
05000US01027,1179
05000US01029,1451
05000US01031,7127
05000US01033,4370
05000US01035,1112
05000US01037,1010
05000US01039,4394
05000US01041,1785
05000US01043,6496
05000US01045,5196
05000US01047,3195
05000US01049,6156
05000US01051,6413
05000US01053,3275
05000US01055,8553
05000US01057,1668
05000US01059,2456
05000US01061,3162
05000US01063,807
05000US01065,1641
05000US01067,1635
05000US01069,26189
05000US01071,5133
05000US01073,47298
05000US01075,1570
05000US01077,7129
05000US01079,2921
05000US01081,9999
05000US01083,6176
05000US01085,1476
05000US01087,2643
05000US01089,24350
05000US01091,2016
05000US01093,2744
05000US01095,12188
05000US01097,29806
05000US01099,1804
05000US01101,16799
05000US01103,8773
05000US01105,804
05000US01107,2120
05000US01109,3910
05000US01111,1981
05000US01113,3680
05000US01115,5266
05000US01117,15259
05000US01119,1232
05000US01121,6243
05000US01123,3338
05000US01125,14561
05000US01127,5894
05000US01129,1564
05000US01131,1124
05000US01133,2175
05000US02013,1166
05000US02016,1828
05000US02020,19680
05000US02050,6967
05000US02060,573
05000US02068,390
05000US02070,1848
05000US02090,6302
05000US02100,364
05000US02105,778
05000US02110,3599
05000US02122,7745
05000US02130,2278
05000US02150,1457
05000US02164,884
05000US02170,13168
05000US02180,4361
05000US02185,2678
05000US02188,3596
05000US02195,1129
05000US02198,2087
05000US02220,1427
05000US02230,397
05000US02240,1171
05000US02261,1280
05000US02270,4285
05000US02275,645
05000US02282,341
05000US02290,2665
05000US04001,11246
05000US04003,10371
05000US04005,12421
05000US04007,3817
05000US04009,3688
05000US04011,1085
05000US04012,1948
05000US04013,261143
05000US04015,12684
05000US04017,11994
05000US04019,70736
05000US04021,23634
05000US04023,3128
05000US04025,12392
05000US04027,14003
05000US05001,2036
05000US05003,2152
05000US05005,3568
05000US05007,16803
05000US05009,3491
05000US05011,1157
05000US05013,698
05000US05015,2173
05000US05017,1215
05000US05019,2369
05000US05021,2130
05000US05023,2244
05000US05025,1096
05000US05027,2090
05000US05029,2343
05000US05031,7342
05000US05033,4540
05000US05035,4591
05000US05037,1733
05000US05039,915
05000US05041,1336
05000US05043,1538
05000US05045,9434
05000US05047,1664
05000US05049,1294
05000US05051,6150
05000US05053,1904
05000US05055,3391
05000US05057,1826
05000US05059,3008
05000US05061,1351
05000US05063,3161
05000US05065,1614
05000US05067,2527
05000US05069,6558
05000US05071,2577
05000US05073,1045
05000US05075,2489
05000US05077,1206
05000US05079,1593
05000US05081,1206
05000US05083,2617
05000US05085,5357
05000US05087,1467
05000US05089,1645
05000US05091,3301
05000US05093,4348
05000US05095,1022
05000US05097,1131
05000US05099,938
05000US05101,983
05000US05103,2322
05000US05105,1217
05000US05107,1773
05000US05109,1538
05000US05111,2644
05000US05113,2110
05000US05115,4975
05000US05117,1331
05000US05119,23976
05000US05121,1764
05000US05123,2575
05000US05125,7639
05000US05127,1042
05000US05129,918
05000US05131,8759
05000US05133,1582
05000US05135,2037
05000US05137,918
05000US05139,3883
05000US05141,1675
05000US05143,13994
05000US05145,6407
05000US05147,978
05000US05149,1967
05000US06001,118415
05000US06003,280
05000US06005,3142
05000US06007,17095
05000US06009,2568
05000US06011,1963
05000US06013,70877
05000US06015,2586
05000US06017,12062
05000US06019,66547
05000US06021,2603
05000US06023,11532
05000US06025,12509
05000US06027,2465
05000US06029,58350
05000US06031,13313
05000US06033,4038
05000US06035,4550
05000US06037,751076
05000US06039,10180
05000US06041,18102
05000US06043,1315
05000US06045,6649
05000US06047,18211
05000US06049,930
05000US06051,731
05000US06053,32040
05000US06055,11853
05000US06057,6744
05000US06059,220309
05000US06061,25344
05000US06063,1562
05000US06065,159055
05000US06067,103855
05000US06069,4764
05000US06071,126003
05000US06073,220765
05000US06075,55371
05000US06077,49265
05000US06079,18960
05000US06081,54369
05000US06083,31973
05000US06085,138321
05000US06087,19530
05000US06089,14438
05000US06091,298
05000US06093,6465
05000US06095,30450
05000US06097,34930
05000US06099,35973
05000US06101,7893
05000US06103,5305
05000US06105,1310
05000US06107,35437
05000US06109,3952
05000US06111,61589
05000US06113,14464
05000US06115,5231
05000US08001,30760
05000US08003,1414
05000US08005,47037
05000US08007,1242
05000US08009,941
05000US08011,1014
05000US08013,23935
05000US08014,4666
05000US08015,1715
05000US08017,576
05000US08019,915
05000US08021,1556
05000US08023,463
05000US08025,878
05000US08027,427
05000US08029,2906
05000US08031,43833
05000US08033,346
05000US08035,21116
05000US08037,2561
05000US08039,2557
05000US08041,45819
05000US08043,4766
05000US08045,3645
05000US08047,397
05000US08049,1130
05000US08051,1433
05000US08053,218
05000US08055,688
05000US08057,308
05000US08059,45757
05000US08061,471
05000US08063,1503
05000US08065,421
05000US08067,5780
05000US08069,22691
05000US08071,2100
05000US08073,1212
05000US08075,2385
05000US08077,9969
05000US08079,212
05000US08081,1218
05000US08083,2195
05000US08085,3219
05000US08087,3026
05000US08089,2283
05000US08091,685
05000US08093,1189
05000US08095,789
05000US08097,971
05000US08099,1641
05000US08101,13767
05000US08103,884
05000US08105,1347
05000US08107,2224
05000US08109,862
05000US08111,124
05000US08113,931
05000US08115,730
05000US08117,1330
05000US08119,1787
05000US08121,1308
05000US08123,22457
05000US08125,1100
05000US09001,72449
05000US09003,71530
05000US09005,17181
05000US09007,12640
05000US09009,62205
05000US09011,23018
05000US09013,12148
05000US09015,9823
05000US10001,13522
05000US10003,43796
05000US10005,21006
05000US11001,48134
05000US12001,16788
05000US12003,1874
05000US12005,11407
05000US12007,2310
05000US12009,33570
05000US12011,103914
05000US12013,1552
05000US12015,10130
05000US12017,8002
05000US12019,10156
05000US12021,18928
05000US12023,4226
05000US12027,2661
05000US12029,1213
05000US12031,51477
05000US12033,20123
05000US12035,5490
05000US12037,1283
05000US12039,3648
05000US12041,1737
05000US12043,1089
05000US12045,1539
05000US12047,1794
05000US12049,2045
05000US12051,2050
05000US12053,11590
05000US12055,6137
05000US12057,85177
05000US12059,1955
05000US12061,8229
05000US12063,5123
05000US12065,1436
05000US12067,849
05000US12069,16853
05000US12071,40869
05000US12073,18394
05000US12075,3357
05000US12077,1017
05000US12079,1891
05000US12081,21572
05000US12083,18354
05000US12085,9885
05000US12086,147187
05000US12087,5556
05000US12089,4534
05000US12091,13108
05000US12093,2834
05000US12095,66791
05000US12097,13083
05000US12099,91339
05000US12101,33234
05000US12103,65484
05000US12105,41620
05000US12107,4947
05000US12109,11541
05000US12111,13387
05000US12113,9526
05000US12115,25806
05000US12117,25150
05000US12119,6385
05000US12121,2450
05000US12123,1598
05000US12125,2060
05000US12127,31308
05000US12129,2057
05000US12131,3761
05000US12133,2479
05000US13001,1421
05000US13003,904
05000US13005,866
05000US13007,364
05000US13009,2990
05000US13011,1767
05000US13013,5219
05000US13015,5560
05000US13017,1291
05000US13019,1605
05000US13021,11360
05000US13023,1040
05000US13025,1024
05000US13027,1290
05000US13029,2036
05000US13031,4819
05000US13033,2028
05000US13035,1697
05000US13037,1022
05000US13039,3470
05000US13043,999
05000US13045,6673
05000US13047,3520
05000US13049,972
05000US13051,19438
05000US13053,1368
05000US13055,2605
05000US13057,11282
05000US13059,8525
05000US13061,460
05000US13063,14158
05000US13065,714
05000US13067,40699
05000US13069,3180
05000US13071,3243
05000US13073,7129
05000US13075,1544
05000US13077,7664
05000US13079,940
05000US13081,1493
05000US13083,1451
05000US13085,1333
05000US13087,2315
05000US13089,43564
05000US13091,2109
05000US13093,1619
05000US13095,7302
