Lat,Lng,HDD30,CDD30
32.95,-85.95,2835,1741
33.133333,-88.166667,2818,1931
31.316667,-86.5,2035,2245
33.666667,-85.833333,2763,1836
33.266667,-85.866667,2847,1596
34.8,-86.98333000000001,3605,1531
31.016666999999998,-87.5,2076,2179
32.58333,-85.5,2507,1932
33.45,-87.35,3236,1550
30.883333,-87.783333,1986,2110
31.733333000000002,-87.216667,2042,2192
34.7,-86.88333,3469,1609
33.4,-87.0,2766,1943
33.56667,-86.75,2823,1881
31.116670000000003,-87.03333,2275,2069
31.066667,-87.05,2238,2021
34.93333,-85.75,3696,1390
32.03333,-87.31667,2457,2024
32.8,-85.65,3204,1512
34.15,-85.68333,3221,1639
32.9,-87.25,2688,1908
31.46667,-88.25,2026,2201
33.28333,-86.33333,2487,1929
32.85,-86.633333,2867,1710
31.883333,-85.45,2340,1952
30.383329999999997,-88.21667,1874,2185
30.25,-88.08333,1504,2804
32.51667,-87.83333,2613,1954
31.33333,-85.88333,1947,2213
32.0,-85.08333,2389,1955
31.433333,-86.95,2148,2163
30.55,-87.75,1741,2384
34.366667,-86.916667,3439,1566
33.683333000000005,-87.833333,3049,1787
31.383329999999997,-87.43333,2169,2101
34.01667,-86.0,3220,1716
32.816666999999995,-88.15,2748,1959
31.05,-85.88333,2142,2003
32.7,-87.583333,2321,2222
31.833333000000003,-86.633333,2009,2226
34.35,-86.3,3360,1626
34.233333,-87.616667,3488,1539
34.1,-87.98333000000001,3515,1597
31.35,-85.33333,2063,2264
33.65,-85.6,3231,1569
31.966666999999998,-86.3,2367,1916
34.65,-86.76666999999999,3262,1671
31.51667,-87.88333,2102,2204
33.9,-87.26666999999999,3165,1699
32.9,-85.416667,2942,1675
32.583333,-88.18333299999999,2708,1888
32.46667,-87.21667,2620,2040
32.666667,-85.916667,2672,1758
32.45,-85.9,2518,1950
30.683329999999998,-88.23333000000001,1681,2539
32.3,-86.4,2194,2252
34.48333,-87.3,3177,1670
34.75,-87.61667,3236,1789
33.95,-86.483333,3296,1536
32.63333,-85.38333,2687,1708
31.383333,-85.65,1783,2241
33.68333,-86.7,3169,1699
30.55,-87.8,1818,2262
32.88333,-86.21667,2669,1665
33.15,-85.3,3015,1682
34.5,-87.73333000000001,3622,1450
34.166667,-86.81666700000001,3284,1558
34.28333,-85.96667,3629,1392
34.75,-85.966667,3529,1541
32.416667,-87.0,2206,2176
33.2,-86.2,3045,1587
33.433333000000005,-86.1,3237,1512
31.916666999999997,-87.75,2263,2210
32.91667,-86.66667,2738,1744
31.8,-85.983333,2268,2071
33.23333,-87.61667,2371,2239
33.2,-87.7,2787,1893
32.133333,-85.733333,2451,1880
34.566666999999995,-85.6,4022,1182
33.75,-88.116667,3263,1662
31.65,-87.71667,2210,2093
33.933333000000005,-113.18333,2429,2453
32.366667,-112.86666000000001,1273,3804
34.23333,-113.58333,1692,3755
33.85,-109.16666000000001,7517,16
31.983333000000002,-111.38333,2034,2443
33.46028,-111.48361000000001,1542,3443
31.9,-110.25,2708,1738
34.58333,-113.16667,2776,2075
33.816666999999995,-111.63333,1444,3644
34.666667,-111.71666,3172,1804
36.9,-113.93333,2470,3104
36.6,-110.65,6113,560
31.46667,-109.93333,3313,1003
33.483333,-109.76666000000002,5163,581
33.616667,-109.1,5133,454
34.61222,-111.18111,6600,227
33.766667,-113.93333,1765,3620
32.316666999999995,-109.46666,2491,2106
36.2,-112.06666000000001,8124,41
33.366667,-112.56666000000001,1500,3628
35.11667,-114.6,1164,4508
35.866667,-111.41666000000001,3953,1819
31.516666999999998,-110.51666000000002,3435,974
36.15,-109.53333,4937,1062
33.81667,-111.9,1760,3217
32.883333,-111.75,1572,3554
33.0,-111.53333,1759,3426
32.3,-110.38333,2416,2028
33.983333,-112.36666000000001,1534,3296
33.216667,-111.68333,1663,3438
34.53333,-110.91667,6412,272
34.35,-111.7,2690,2247
34.766667,-112.45,4446,951
32.0,-109.36666000000001,3245,1089
33.05,-109.28333,2441,2472
37.0,-112.98333000000001,4584,1076
34.3,-112.16666000000001,3073,1660
31.35,-110.25,2903,1214
34.2,-112.33333,4832,648
32.98333,-113.5,1323,3456
33.58333,-112.13333,1535,3488
31.46667,-109.6,2678,1679
32.683333000000005,-109.1,3429,1586
33.58333,-114.41667,1082,4399
32.73333,-111.51666999999999,1522,3526
35.16667,-111.73333000000001,8340,37
35.2,-111.65,6999,126
33.033333,-111.38333,1632,3337
33.01667,-110.0,2875,2035
35.26667,-111.73333000000001,7963,54
33.6,-111.71667,1494,3737
35.716667,-109.55,6019,541
32.95,-112.71666,1110,4313
33.38333,-110.76666999999999,3066,1781
36.05,-112.15,6610,197
34.016667,-109.45,7573,16
34.73333,-111.41667,7714,77
34.433333000000005,-110.6,6035,269
34.46667,-112.86667,3716,1267
34.883333,-110.21666,4408,1186
34.75,-112.11666000000001,3629,1511
35.816666999999995,-110.2,5743,592
35.2,-114.01666999999999,3260,1982
31.96667,-111.6,4181,670
35.55,-109.7,5228,756
33.26667,-113.96667,1144,3992
33.333333,-112.15,1401,3917
36.866667,-111.58333,3522,2514
33.5,-112.36667,1497,3703
36.433333000000005,-109.26666000000002,6033,598
33.11667,-112.03333,1717,3558
34.083333,-109.88333,6698,105
33.416667,-111.83333,1271,3798
33.4,-110.88333,2723,2235
34.616667,-111.83333,3214,1801
36.98333,-110.1,4894,1350
33.55,-111.15,1504,3687
34.93333,-111.63333,7405,85
31.35,-110.93333,2866,1552
34.96667,-111.75,4403,766
32.56667,-110.71667,2888,1779
31.933333,-112.78333,1276,3417
36.91667,-111.45,4346,1668
34.116667,-114.31666000000001,1202,4137
34.23333,-111.33333,4160,973
31.983333000000002,-109.91666000000001,2868,1540
34.8,-109.86667,4687,998
36.1,-112.1,2087,3537
33.433333000000005,-112.03333,1125,4189
32.65,-111.4,1392,3807
36.86667,-112.73333000000001,4761,1025
34.1,-110.93333,4725,634
31.883329999999997,-109.2,4572,461
34.55,-112.46666,4849,742
33.86667,-111.31667,2655,2489
33.666667,-114.23333000000001,1361,4261
33.683333000000005,-111.13333,2065,3082
32.3,-110.81667,1510,2988
33.083333,-111.75,1697,3531
32.81667,-109.68333,2718,2142
34.5,-109.36666000000001,4942,767
33.2,-110.41666000000001,2380,2778
35.2,-109.4,5397,696
32.26667,-109.21667,3137,1740
31.76667,-110.85,2251,1956
31.48333,-111.55,2299,1879
34.866667,-111.76666000000002,3243,1714
35.316666999999995,-112.88333,4753,742
34.26667,-110.0,4906,697
31.55,-110.28333,2369,1739
34.5,-110.08333,5114,666
33.38333,-112.06667,1453,3213
34.133333,-109.28333,6236,146
33.566666999999995,-111.53333,1709,3225
35.36667,-111.55,7277,125
33.3,-111.1,1710,3131
32.71667,-113.91667,1434,3785
36.91667,-109.08333,4970,1249
33.383333,-111.96666,1390,3655
36.03333,-114.33333,2086,3823
31.7,-110.06666000000001,2334,1924
33.48333,-112.91667,1584,3634
36.133333,-111.25,4725,1176
32.25,-111.2,1557,3212
32.283333,-110.96666,1831,2810
32.25,-110.83333,1888,2830
32.216667,-110.96666,1333,3501
32.26667,-111.0,1574,3124
32.13333,-110.95,1578,3017
31.566667,-111.05,2353,1889
34.766667,-112.03333,2794,2051
36.98333,-111.48333000000001,3734,2095
34.916667,-112.83333,5011,603
33.8,-109.98333000000001,4301,664
33.966667,-112.73333000000001,2089,2720
34.733333,-113.61666000000001,2273,2566
32.25,-109.83333,3030,1544
35.25,-112.18333,5970,288
35.86667,-114.65,1486,4379
35.76667,-109.08333,6541,330
35.016667,-110.7,4692,1104
35.51667,-111.36667,4262,1504
33.6,-112.3,1173,4166
34.86667,-114.15,1950,3332
32.616667,-114.65,1254,3704
32.83333,-114.4,1041,4273
32.616667,-114.63333,1148,3551
32.66667,-114.6,782,4540
35.9,-91.083333,3768,1937
34.8,-92.866667,3631,1569
34.0,-93.0,2672,2044
34.03333,-91.35,2839,2087
35.816666999999995,-91.783333,3297,1918
35.75,-91.633333,3970,1631
35.433333000000005,-91.1,3520,1829
34.55,-92.616667,3278,1748
36.366667,-94.233333,4483,1269
34.56667,-93.2,3575,1548
35.1,-93.65,3416,1909
35.933333000000005,-89.9,3544,1979
35.15,-93.91667,3171,1960
34.9,-91.18333,3456,1827
34.983333,-92.016667,3470,1699
36.116667,-92.133333,4336,1251
33.3,-92.48333000000001,2853,1999
33.56667,-92.78333,2872,1973
34.683333000000005,-91.3,3491,1854
35.466667,-93.466667,3804,1648
35.08417,-92.42889,3320,1961
36.416667,-90.583333,3958,1711
33.066666999999995,-91.833333,3030,1788
35.25,-93.13333,3221,1882
35.83333,-93.2,5001,912
34.033333,-94.35,3198,1860
33.55,-91.38333,2886,2105
34.966667,-91.5,3266,2027
33.883333,-91.5,2697,2159
33.2,-92.666667,2580,2127
33.06667,-91.15,2574,2291
36.4,-93.733333,3851,1520
36.083333,-91.616667,4095,1535
36.1,-94.166667,4166,1439
33.816666999999995,-92.516667,3374,1618
35.33333,-94.36667,3437,1929
35.983333,-92.716667,3670,1578
36.383333,-94.366667,3923,1515
35.233333,-92.383333,3857,1587
35.51667,-92.0,3808,1616
36.26667,-93.15,4063,1443
35.46667,-92.96667,3599,1591
34.516667,-90.583333,3120,2098
33.666667,-93.916667,3093,1834
