Lat,Lng,CDD30,HDD30
-14.3306,-170.7136,6090.0,0.0
44.2325,-79.7811,307.0,7765.0
15.2136,145.7497,4976.0,0.0
14.1717,145.2428,5565.0,0.0
5.3544,162.9533,5626.0,0.0
5.5167,153.8167,6158.0,0.0
9.6053,138.1786,6179.0,0.0
6.2167,160.7,6168.0,0.0
7.35,149.2,6075.0,0.0
9.55,138.15,5797.0,0.0
10.0333,139.8,6508.0,0.0
5.2739,162.9742,5998.0,0.0
7.3833,143.9167,5974.0,0.0
9.4833,138.0833,6473.0,0.0
6.9667,158.2167,5816.0,0.0
7.45,151.8333,6052.0,0.0
13.5761,144.9281,5750.0,0.0
13.4836,144.7961,6005.0,0.0
16.7333,-169.5167,5781.0,0.0
7.45,134.5,5432.0,0.0
7.0333,134.2667,5346.0,0.0
7.3333,134.4833,6131.0,0.0
8.7333,167.7333,6320.0,0.0
7.0833,171.3833,6246.0,0.0
18.1747,-66.7978,1985.0,45.0
17.9556,-66.2222,5258.0,0.0
18.1281,-66.2642,2320.0,44.0
18.4533,-66.6747,4760.0,0.0
18.1189,-66.1658,3052.0,3.0
18.1547,-66.562,402.0,763.0
18.4722,-66.3058,4440.0,2.0
18.3103,-65.6631,5405.0,0.0
17.9783,-66.0875,5812.0,0.0
18.4653,-67.0525,4469.0,0.0
17.9722,-67.0461,5811.0,0.0
18.1511,-66.9889,2396.0,13.0
18.1875,-67.1378,5053.0,0.0
18.0908,-67.9442,5479.0,0.0
18.2708,-65.7592,492.0,380.0
18.0258,-66.5253,5398.0,0.0
18.3906,-66.0542,5117.0,0.0
18.3469,-67.0119,4871.0,0.0
18.3283,-66.0164,5096.0,0.0
18.2617,-66.6864,3823.0,0.0
18.4981,-67.1294,5059.0,0.0
18.255,-65.6408,5748.0,0.0
18.4325,-66.0108,5855.0,0.0
34.2553,-87.1814,1546.0,3346.0
32.9453,-85.9481,1824.0,2782.0
33.1272,-88.155,2050.0,2710.0
31.3072,-86.5225,1947.0,2325.0
34.9092,-87.2747,1496.0,3673.0
33.2942,-85.7789,1522.0,3056.0
34.7753,-86.9508,1750.0,3244.0
31.1819,-87.4389,2296.0,2000.0
32.5992,-85.4653,1923.0,2455.0
32.6,-85.5,2070.0,2432.0
33.4528,-87.3572,1948.0,2816.0
30.8839,-87.7853,2399.0,1799.0
34.6908,-86.8825,1538.0,3583.0
33.3953,-87.0078,1933.0,2770.0
31.1414,-87.0486,2174.0,2168.0
31.0581,-87.0547,2252.0,1996.0
34.9786,-85.8008,1448.0,3646.0
32.0289,-87.3167,2227.0,2301.0
32.8236,-85.6561,1555.0,3130.0
34.15,-85.6847,1513.0,3455.0
31.4714,-88.2503,2082.0,2299.0
33.285,-86.3431,1910.0,2583.0
32.8203,-86.6522,1794.0,2825.0
31.8708,-85.45,1852.0,2499.0
30.3878,-88.2281,2167.0,1904.0
34.1925,-86.7972,1478.0,3474.0
30.2506,-88.0775,2927.0,1318.0
34.5569,-86.9503,1727.0,3068.0
32.5192,-87.88,1922.0,2741.0
31.2975,-85.8997,2416.0,1831.0
32.0111,-85.09,2398.0,2020.0
31.445,-86.9533,2171.0,2190.0
30.5467,-87.8808,2534.0,1676.0
34.3667,-86.8833,1626.0,3469.0
33.6847,-87.8214,1986.0,2775.0
34.4406,-85.7236,1726.0,3182.0
31.3894,-87.4203,2151.0,2114.0
34.0219,-85.9878,1897.0,3009.0
32.8347,-88.1342,2145.0,2620.0
31.0383,-85.8708,2269.0,2018.0
32.7019,-87.5817,2376.0,2143.0
31.79,-86.6086,1899.0,2455.0
34.3344,-86.3297,1821.0,3115.0
34.3347,-86.3294,1849.0,3051.0
34.2314,-87.6353,2099.0,2811.0
34.0967,-87.9914,1661.0,3467.0
34.0675,-86.7917,1662.0,3135.0
31.3625,-85.3397,2432.0,1905.0
33.6483,-85.6006,1512.0,3255.0
33.2725,-86.8336,2033.0,2666.0
31.8814,-86.2503,1647.0,2767.0
31.5253,-87.9278,2165.0,2224.0
33.9047,-87.3153,1704.0,3225.0
32.9069,-85.4336,1637.0,2960.0
32.5811,-88.1897,2043.0,2613.0
32.4714,-87.2314,2052.0,2601.0
32.6667,-85.9167,1784.0,2641.0
32.4419,-85.8889,2157.0,2359.0
32.26,-86.2181,2113.0,2278.0
34.4883,-87.2989,1664.0,3286.0
34.7889,-87.5394,1498.0,3623.0
33.3264,-86.7561,1832.0,2830.0
33.9478,-86.4692,1714.0,3149.0
32.6592,-85.4492,1718.0,2814.0
34.5528,-86.445,1540.0,3517.0
33.6906,-86.685,1645.0,3173.0
30.5653,-87.7017,2336.0,1858.0
32.8711,-86.1758,1711.0,2654.0
33.1581,-85.2911,1598.0,2919.0
34.51,-87.7319,1657.0,3403.0
34.1736,-86.8133,1635.0,3267.0
34.2878,-85.9681,1456.0,3507.0
34.6736,-86.0536,1608.0,3393.0
32.4111,-87.0144,2249.0,2280.0
33.2053,-86.2114,1674.0,3029.0
33.4164,-86.135,1688.0,3065.0
31.9172,-87.7347,2189.0,2271.0
32.9206,-86.6708,2036.0,2520.0
31.8075,-85.9722,2146.0,2209.0
33.2119,-87.6161,2348.0,2338.0
32.0142,-85.7464,1891.0,2555.0
34.5667,-85.6128,1395.0,3745.0
33.7392,-88.1275,1864.0,2977.0
