Utility,UtilityID,FIPS,State,County
City of Abbeville - (SC),34,45001,SC,Abbeville County
City of Aberdeen - (MS),55,28095,MS,Monroe County
City of Abbeville - (LA),59,22113,LA,Vermilion Parish
A & N Electric Coop,84,24039,MD,Somerset County
A & N Electric Coop,84,51001,VA,Accomack County
A & N Electric Coop,84,51131,VA,Northampton County
City of Ada - (MN),87,27107,MN,Norman County
Adams Electric Coop,97,17001,IL,Adams County
Adams Electric Coop,97,17009,IL,Brown County
Adams Electric Coop,97,17169,IL,Schuyler County
Adams-Columbia Electric Coop,108,55001,WI,Adams County
Adams-Columbia Electric Coop,108,55021,WI,Columbia County
Adams-Columbia Electric Coop,108,55025,WI,Dane County
Adams-Columbia Electric Coop,108,55027,WI,Dodge County
Adams-Columbia Electric Coop,108,55047,WI,Green Lake County
Adams-Columbia Electric Coop,108,55055,WI,Jefferson County
Adams-Columbia Electric Coop,108,55077,WI,Marquette County
Adams-Columbia Electric Coop,108,55097,WI,Portage County
Adams-Columbia Electric Coop,108,55111,WI,Sauk County
Adams-Columbia Electric Coop,108,55135,WI,Waupaca County
Adams-Columbia Electric Coop,108,55137,WI,Waushara County
Adams-Columbia Electric Coop,108,55141,WI,Wood County
"Adams Rural Electric Coop, Inc",118,39001,OH,Adams County
"Adams Rural Electric Coop, Inc",118,39015,OH,Brown County
"Adams Rural Electric Coop, Inc",118,39071,OH,Highland County
"Adams Rural Electric Coop, Inc",118,39131,OH,Pike County
"Adams Rural Electric Coop, Inc",118,39145,OH,Scioto County
Village of Arcade - (NY),122,36009,NY,Cattaraugus County
Village of Arcade - (NY),122,36029,NY,Erie County
Village of Arcade - (NY),122,36121,NY,Wyoming County
City of Adel- (GA),123,13075,GA,Cook County
City of Adel- (GA),123,13277,GA,Tift County
City of Afton- (IA),149,19175,IA,Union County
Adrian Public Utilities Comm,150,27105,MN,Nobles County
Agralite Electric Coop,155,27011,MN,Big Stone County
Agralite Electric Coop,155,27121,MN,Pope County
Agralite Electric Coop,155,27149,MN,Stevens County
Agralite Electric Coop,155,27151,MN,Swift County
Town of Advance - (IN),157,18011,IN,Boone County
Aiken Electric Coop Inc,162,45003,SC,Aiken County
Aiken Electric Coop Inc,162,45011,SC,Barnwell County
Aiken Electric Coop Inc,162,45017,SC,Calhoun County
Aiken Electric Coop Inc,162,45037,SC,Edgefield County
Aiken Electric Coop Inc,162,45047,SC,Greenwood County
Aiken Electric Coop Inc,162,45063,SC,Lexington County
Aiken Electric Coop Inc,162,45065,SC,McCormick County
Aiken Electric Coop Inc,162,45075,SC,Orangeburg County
Aiken Electric Coop Inc,162,45081,SC,Saluda County
Aitkin Public Utilities Comm,174,27001,MN,Aitkin County
Ajo Improvement Co,176,04019,AZ,Pima County
City of Akron - (IA),182,19149,IA,Plymouth County
Village of Akron - (NY),183,36029,NY,Erie County
Alamo Power District No 3,191,32017,NV,Lincoln County
Akiachak Native Community Electric,192,02050,AK,Bethel Census Area
Alabama Power Co,195,01001,AL,Autauga County
Alabama Power Co,195,01003,AL,Baldwin County
Alabama Power Co,195,01005,AL,Barbour County
Alabama Power Co,195,01007,AL,Bibb County
Alabama Power Co,195,01009,AL,Blount County
Alabama Power Co,195,01011,AL,Bullock County
Alabama Power Co,195,01013,AL,Butler County
Alabama Power Co,195,01015,AL,Calhoun County
