FIPS,State,County,MetroMicro
28035,Forrest County,MS,METRO
51690,Martinsville city,VA,MICRO
24510,Baltimore city,MD,METRO
31125,Nance County,NE,NONE
22019,Calcasieu Parish,LA,METRO
37073,Gates County,NC,METRO
51139,Page County,VA,NONE
20065,Graham County,KS,NONE
47135,Perry County,TN,NONE
29045,Clark County,MO,MICRO
48453,Travis County,TX,METRO
40073,Kingfisher County,OK,NONE
05027,Columbia County,AR,MICRO
48031,Blanco County,TX,NONE
30103,Treasure County,MT,NONE
26073,Isabella County,MI,MICRO
12029,Dixie County,FL,NONE
48033,Borden County,TX,NONE
16031,Cassia County,ID,MICRO
39063,Hancock County,OH,MICRO
19195,Worth County,IA,MICRO
06099,Stanislaus County,CA,METRO
51515,Bedford city,VA,METRO
08037,Eagle County,CO,MICRO
45055,Kershaw County,SC,METRO
21171,Monroe County,KY,NONE
08063,Kit Carson County,CO,NONE
56041,Uinta County,WY,MICRO
26093,Livingston County,MI,METRO
18125,Pike County,IN,MICRO
48319,Mason County,TX,NONE
69085,Northern Islands Municipality,MP,NONE
28037,Franklin County,MS,NONE
66010,Guam,GU,NONE
13085,Dawson County,GA,METRO
31063,Frontier County,NE,NONE
17195,Whiteside County,IL,MICRO
39113,Montgomery County,OH,METRO
18001,Adams County,IN,MICRO
48451,Tom Green County,TX,METRO
46077,Kingsbury County,SD,NONE
29077,Greene County,MO,METRO
31005,Arthur County,NE,NONE
48329,Midland County,TX,METRO
22051,Jefferson Parish,LA,METRO
72059,Guayanilla Municipio,PR,METRO
04025,Yavapai County,AZ,METRO
30083,Richland County,MT,NONE
37053,Currituck County,NC,METRO
45039,Fairfield County,SC,METRO
56011,Crook County,WY,NONE
27105,Nobles County,MN,MICRO
47041,DeKalb County,TN,NONE
29181,Ripley County,MO,NONE
17105,Livingston County,IL,MICRO
37081,Guilford County,NC,METRO
30105,Valley County,MT,NONE
29043,Christian County,MO,METRO
05133,Sevier County,AR,NONE
47089,Jefferson County,TN,METRO
18147,Spencer County,IN,NONE
11001,District of Columbia,DC,METRO
20039,Decatur County,KS,NONE
12095,Orange County,FL,METRO
17177,Stephenson County,IL,MICRO
01129,Washington County,AL,NONE
13269,Taylor County,GA,NONE
02090,Fairbanks North Star Borough,AK,METRO
29207,Stoddard County,MO,NONE
06043,Mariposa County,CA,NONE
54017,Doddridge County,WV,MICRO
48023,Baylor County,TX,NONE
18029,Dearborn County,IN,METRO
29069,Dunklin County,MO,MICRO
20089,Jewell County,KS,NONE
05049,Fulton County,AR,NONE
49005,Cache County,UT,METRO
46021,Campbell County,SD,NONE
27009,Benton County,MN,METRO
26081,Kent County,MI,METRO
31041,Custer County,NE,NONE
19107,Keokuk County,IA,NONE
28081,Lee County,MS,MICRO
16065,Madison County,ID,MICRO
27153,Todd County,MN,NONE
13309,Wheeler County,GA,NONE
28115,Pontotoc County,MS,MICRO
13133,Greene County,GA,NONE
42069,Lackawanna County,PA,METRO
47147,Robertson County,TN,METRO
49023,Juab County,UT,METRO
41007,Clatsop County,OR,MICRO
08003,Alamosa County,CO,NONE
46123,Tripp County,SD,NONE
17041,Douglas County,IL,NONE
34007,Camden County,NJ,METRO
22127,Winn Parish,LA,NONE
22069,Natchitoches Parish,LA,MICRO
28129,Smith County,MS,NONE
40097,Mayes County,OK,NONE
21165,Menifee County,KY,MICRO
42107,Schuylkill County,PA,MICRO
17087,Johnson County,IL,NONE
48347,Nacogdoches County,TX,MICRO
17071,Henderson County,IL,MICRO
48437,Swisher County,TX,NONE
36051,Livingston County,NY,METRO
55055,Jefferson County,WI,MICRO
42009,Bedford County,PA,NONE
18111,Newton County,IN,METRO
55037,Florence County,WI,MICRO
29153,Ozark County,MO,NONE
21191,Pendleton County,KY,METRO
46127,Union County,SD,METRO
48233,Hutchinson County,TX,MICRO
01019,Cherokee County,AL,NONE
01111,Randolph County,AL,NONE
22079,Rapides Parish,LA,METRO
37169,Stokes County,NC,METRO
38055,McLean County,ND,NONE
39061,Hamilton County,OH,METRO
48471,Walker County,TX,MICRO
30073,Pondera County,MT,NONE
13267,Tattnall County,GA,NONE
51600,Fairfax city,VA,METRO
31137,Phelps County,NE,NONE
23029,Washington County,ME,NONE
39051,Fulton County,OH,METRO
41029,Jackson County,OR,METRO
27093,Meeker County,MN,NONE
37153,Richmond County,NC,MICRO
19101,Jefferson County,IA,MICRO
37135,Orange County,NC,METRO
31123,Morrill County,NE,NONE
20059,Franklin County,KS,MICRO
21139,Livingston County,KY,MICRO
47187,Williamson County,TN,METRO
10005,Sussex County,DE,METRO
51053,Dinwiddie County,VA,METRO
53075,Whitman County,WA,MICRO
26007,Alpena County,MI,MICRO
49045,Tooele County,UT,METRO
51095,James City County,VA,METRO
01123,Tallapoosa County,AL,NONE
09001,Fairfield County,CT,METRO
19065,Fayette County,IA,NONE
29137,Monroe County,MO,NONE
56023,Lincoln County,WY,NONE
02195,Petersburg Census Area,AK,NONE
26109,Menominee County,MI,MICRO
31073,Gosper County,NE,MICRO
42101,Philadelphia County,PA,METRO
29157,Perry County,MO,NONE
29019,Boone County,MO,METRO
38073,Ransom County,ND,NONE
28123,Scott County,MS,NONE
18065,Henry County,IN,MICRO
21103,Henry County,KY,METRO
48219,Hockley County,TX,MICRO
27065,Kanabec County,MN,NONE
17021,Christian County,IL,MICRO
55091,Pepin County,WI,NONE
13165,Jenkins County,GA,NONE
02105,Hoonah-Angoon Census Area,AK,NONE
27131,Rice County,MN,MICRO
48413,Schleicher County,TX,NONE
29085,Hickory County,MO,NONE
27027,Clay County,MN,METRO
08077,Mesa County,CO,METRO
31103,Keya Paha County,NE,NONE
17037,DeKalb County,IL,METRO
41031,Jefferson County,OR,NONE
36015,Chemung County,NY,METRO
18031,Decatur County,IN,MICRO
24001,Allegany County,MD,METRO
46039,Deuel County,SD,NONE
27069,Kittson County,MN,NONE
17045,Edgar County,IL,NONE
28133,Sunflower County,MS,MICRO
13281,Towns County,GA,NONE
17089,Kane County,IL,METRO
21093,Hardin County,KY,METRO
55101,Racine County,WI,METRO
48229,Hudspeth County,TX,METRO
20103,Leavenworth County,KS,METRO
13095,Dougherty County,GA,METRO
48403,Sabine County,TX,NONE
21113,Jessamine County,KY,METRO
35029,Luna County,NM,MICRO
37085,Harnett County,NC,MICRO
42025,Carbon County,PA,METRO
28027,Coahoma County,MS,MICRO
51720,Norton city,VA,MICRO
36007,Broome County,NY,METRO
31033,Cheyenne County,NE,NONE
48099,Coryell County,TX,METRO
42065,Jefferson County,PA,NONE
54081,Raleigh County,WV,METRO
29145,Newton County,MO,METRO
02164,Lake and Peninsula Borough,AK,NONE
05053,Grant County,AR,METRO
51570,Colonial Heights city,VA,METRO
29213,Taney County,MO,MICRO
22011,Beauregard Parish,LA,MICRO
46105,Perkins County,SD,NONE
37149,Polk County,NC,NONE
72055,Guanica Municipio,PR,METRO
40019,Carter County,OK,MICRO
60020,Manu'a District,AS,NONE
19019,Buchanan County,IA,NONE
29075,Gentry County,MO,NONE
28079,Leake County,MS,NONE
38005,Benson County,ND,NONE
51119,Middlesex County,VA,NONE
02240,Southeast Fairbanks Census Area,AK,NONE
16073,Owyhee County,ID,METRO
48155,Foard County,TX,NONE
41005,Clackamas County,OR,METRO
39119,Muskingum County,OH,MICRO
48279,Lamb County,TX,NONE
39131,Pike County,OH,NONE
38097,Traill County,ND,NONE
08013,Boulder County,CO,METRO
47149,Rutherford County,TN,METRO
78020,St. John Island,VI,NONE
12013,Calhoun County,FL,NONE
47077,Henderson County,TN,NONE
17115,Macon County,IL,METRO
22029,Concordia Parish,LA,MICRO
26113,Missaukee County,MI,MICRO
27119,Polk County,MN,METRO
45043,Georgetown County,SC,MICRO
12103,Pinellas County,FL,METRO
29163,Pike County,MO,NONE
37129,New Hanover County,NC,METRO
48139,Ellis County,TX,METRO
13263,Talbot County,GA,NONE
55097,Portage County,WI,MICRO
20051,Ellis County,KS,MICRO
48363,Palo Pinto County,TX,MICRO
48111,Dallam County,TX,NONE
56039,Teton County,WY,MICRO
20079,Harvey County,KS,METRO
18019,Clark County,IN,METRO
39079,Jackson County,OH,MICRO
12017,Citrus County,FL,METRO
37195,Wilson County,NC,MICRO
22031,De Soto Parish,LA,METRO
09013,Tolland County,CT,METRO
24025,Harford County,MD,METRO
20087,Jefferson County,KS,METRO
31131,Otoe County,NE,NONE
21135,Lewis County,KY,NONE
20141,Osborne County,KS,NONE
12065,Jefferson County,FL,METRO
31165,Sioux County,NE,MICRO
31047,Dawson County,NE,MICRO
40109,Oklahoma County,OK,METRO
05145,White County,AR,MICRO
42045,Delaware County,PA,METRO
13111,Fannin County,GA,NONE
16015,Boise County,ID,METRO
29159,Pettis County,MO,MICRO
39031,Coshocton County,OH,MICRO
19049,Dallas County,IA,METRO
37029,Camden County,NC,MICRO
54065,Morgan County,WV,NONE
13055,Chattooga County,GA,MICRO
51033,Caroline County,VA,METRO
21001,Adair County,KY,NONE
41009,Columbia County,OR,METRO
29179,Reynolds County,MO,NONE
48265,Kerr County,TX,MICRO
08117,Summit County,CO,MICRO
22115,Vernon Parish,LA,MICRO
13315,Wilcox County,GA,NONE
35011,De Baca County,NM,NONE
55085,Oneida County,WI,NONE
19121,Madison County,IA,METRO
47155,Sevier County,TN,MICRO
39145,Scioto County,OH,MICRO
31071,Garfield County,NE,NONE
19113,Linn County,IA,METRO
51630,Fredericksburg city,VA,METRO
38057,Mercer County,ND,NONE
21089,Greenup County,KY,METRO
20001,Allen County,KS,NONE
05105,Perry County,AR,METRO
37059,Davie County,NC,METRO
49021,Iron County,UT,MICRO
26111,Midland County,MI,METRO
38067,Pembina County,ND,NONE
13237,Putnam County,GA,NONE
08089,Otero County,CO,NONE
18121,Parke County,IN,NONE
40131,Rogers County,OK,METRO
30089,Sanders County,MT,NONE
40021,Cherokee County,OK,MICRO
48091,Comal County,TX,METRO
17135,Montgomery County,IL,NONE
13173,Lanier County,GA,METRO
24033,Prince George's County,MD,METRO
19047,Crawford County,IA,NONE
45089,Williamsburg County,SC,NONE
04015,Mohave County,AZ,METRO
46013,Brown County,SD,MICRO
26025,Calhoun County,MI,METRO
31157,Scotts Bluff County,NE,MICRO
48121,Denton County,TX,METRO
72053,Fajardo Municipio,PR,METRO
01031,Coffee County,AL,MICRO
48495,Winkler County,TX,NONE
13139,Hall County,GA,METRO
18117,Orange County,IN,NONE
01007,Bibb County,AL,METRO
36053,Madison County,NY,METRO
55105,Rock County,WI,METRO
48035,Bosque County,TX,NONE
21167,Mercer County,KY,NONE
40029,Coal County,OK,NONE
29205,Shelby County,MO,NONE
21209,Scott County,KY,METRO
29133,Mississippi County,MO,NONE
47081,Hickman County,TN,METRO
41023,Grant County,OR,NONE
35051,Sierra County,NM,NONE
12007,Bradford County,FL,NONE
45069,Marlboro County,SC,MICRO
01127,Walker County,AL,METRO
48169,Garza County,TX,NONE
45031,Darlington County,SC,METRO
13313,Whitfield County,GA,METRO
29009,Barry County,MO,NONE
40077,Latimer County,OK,NONE
28101,Newton County,MS,NONE
22063,Livingston Parish,LA,METRO
53055,San Juan County,WA,NONE
18089,Lake County,IN,METRO
40139,Texas County,OK,MICRO
30087,Rosebud County,MT,NONE
36027,Dutchess County,NY,METRO
19119,Lyon County,IA,NONE
05085,Lonoke County,AR,METRO
31057,Dundy County,NE,NONE
48245,Jefferson County,TX,METRO
27035,Crow Wing County,MN,MICRO
50007,Chittenden County,VT,METRO
37161,Rutherford County,NC,MICRO
23017,Oxford County,ME,NONE
05119,Pulaski County,AR,METRO
39167,Washington County,OH,MICRO
27071,Koochiching County,MN,NONE
01035,Conecuh County,AL,NONE
34041,Warren County,NJ,METRO
13129,Gordon County,GA,MICRO
34025,Monmouth County,NJ,METRO
13151,Henry County,GA,METRO
47061,Grundy County,TN,NONE
51083,Halifax County,VA,NONE
12019,Clay County,FL,METRO
39115,Morgan County,OH,NONE
26051,Gladwin County,MI,NONE
72025,Caguas Municipio,PR,METRO
30005,Blaine County,MT,NONE
16085,Valley County,ID,NONE
01089,Madison County,AL,METRO
17129,Menard County,IL,METRO
19069,Franklin County,IA,NONE
22035,East Carroll Parish,LA,NONE
39093,Lorain County,OH,METRO
46029,Codington County,SD,MICRO
41013,Crook County,OR,MICRO
37139,Pasquotank County,NC,MICRO
51520,Bristol city,VA,METRO
08079,Mineral County,CO,NONE
13321,Worth County,GA,METRO
37011,Avery County,NC,NONE
21013,Bell County,KY,MICRO
13081,Crisp County,GA,MICRO
21081,Grant County,KY,METRO
45047,Greenwood County,SC,MICRO
22095,St. John the Baptist Parish,LA,METRO
29223,Wayne County,MO,NONE
24029,Kent County,MD,NONE
50017,Orange County,VT,MICRO
51620,Franklin city,VA,NONE
17051,Fayette County,IL,NONE
32007,Elko County,NV,MICRO
19071,Fremont County,IA,NONE
25021,Norfolk County,MA,METRO
39141,Ross County,OH,MICRO
29225,Webster County,MO,METRO
21003,Allen County,KY,METRO
38019,Cavalier County,ND,NONE
26003,Alger County,MI,NONE
37051,Cumberland County,NC,METRO
30011,Carter County,MT,NONE
20097,Kiowa County,KS,NONE
51103,Lancaster County,VA,NONE
53007,Chelan County,WA,METRO
13277,Tift County,GA,MICRO
01119,Sumter County,AL,NONE
53069,Wahkiakum County,WA,NONE
21075,Fulton County,KY,MICRO
27127,Redwood County,MN,NONE
26021,Berrien County,MI,METRO
29139,Montgomery County,MO,NONE
22039,Evangeline Parish,LA,NONE
51011,Appomattox County,VA,METRO
26105,Mason County,MI,MICRO
56001,Albany County,WY,MICRO
47047,Fayette County,TN,METRO
49027,Millard County,UT,NONE
72107,Orocovis Municipio,PR,METRO
19189,Winnebago County,IA,NONE
51073,Gloucester County,VA,METRO
30013,Cascade County,MT,METRO
48003,Andrews County,TX,MICRO
38035,Grand Forks County,ND,METRO
24013,Carroll County,MD,METRO
55069,Lincoln County,WI,MICRO
31055,Douglas County,NE,METRO
72057,Guayama Municipio,PR,METRO
38069,Pierce County,ND,NONE
56019,Johnson County,WY,NONE
22033,East Baton Rouge Parish,LA,METRO
21149,McLean County,KY,METRO
72037,Ceiba Municipio,PR,METRO
39033,Crawford County,OH,MICRO
48305,Lynn County,TX,METRO
13137,Habersham County,GA,MICRO
35027,Lincoln County,NM,NONE
16051,Jefferson County,ID,METRO
06083,Santa Barbara County,CA,METRO
37021,Buncombe County,NC,METRO
46089,McPherson County,SD,NONE
