Utility,State,County,FIPS
City of Abbeville - (SC),SC,Abbeville County,45001
City of Aberdeen - (MS),MS,Monroe County,28095
City of Abbeville - (LA),LA,Vermilion Parish,22113
A & N Electric Coop,MD,Somerset County,24039
A & N Electric Coop,VA,Accomack County,51001
A & N Electric Coop,VA,Northampton County,51131
City of Ada - (MN),MN,Norman County,27107
Adams Electric Coop,IL,Adams County,17001
Adams Electric Coop,IL,Brown County,17009
Adams Electric Coop,IL,Schuyler County,17169
Adams-Columbia Electric Coop,WI,Adams County,55001
Adams-Columbia Electric Coop,WI,Columbia County,55021
Adams-Columbia Electric Coop,WI,Dane County,55025
Adams-Columbia Electric Coop,WI,Dodge County,55027
Adams-Columbia Electric Coop,WI,Green Lake County,55047
Adams-Columbia Electric Coop,WI,Jefferson County,55055
Adams-Columbia Electric Coop,WI,Marquette County,55077
Adams-Columbia Electric Coop,WI,Portage County,55097
Adams-Columbia Electric Coop,WI,Sauk County,55111
Adams-Columbia Electric Coop,WI,Waupaca County,55135
Adams-Columbia Electric Coop,WI,Waushara County,55137
Adams-Columbia Electric Coop,WI,Wood County,55141
"Adams Rural Electric Coop, Inc",OH,Adams County,39001
"Adams Rural Electric Coop, Inc",OH,Brown County,39015
"Adams Rural Electric Coop, Inc",OH,Highland County,39071
"Adams Rural Electric Coop, Inc",OH,Pike County,39131
"Adams Rural Electric Coop, Inc",OH,Scioto County,39145
Village of Arcade - (NY),NY,Cattaraugus County,36009
Village of Arcade - (NY),NY,Erie County,36029
Village of Arcade - (NY),NY,Wyoming County,36121
City of Adel- (GA),GA,Cook County,13075
City of Adel- (GA),GA,Tift County,13277
City of Afton- (IA),IA,Union County,19175
Adrian Public Utilities Comm,MN,Nobles County,27105
Agralite Electric Coop,MN,Big Stone County,27011
Agralite Electric Coop,MN,Pope County,27121
Agralite Electric Coop,MN,Stevens County,27149
Agralite Electric Coop,MN,Swift County,27151
Town of Advance - (IN),IN,Boone County,18011
Aiken Electric Coop Inc,SC,Aiken County,45003
Aiken Electric Coop Inc,SC,Barnwell County,45011
Aiken Electric Coop Inc,SC,Calhoun County,45017
Aiken Electric Coop Inc,SC,Edgefield County,45037
Aiken Electric Coop Inc,SC,Greenwood County,45047
Aiken Electric Coop Inc,SC,Lexington County,45063
Aiken Electric Coop Inc,SC,McCormick County,45065
Aiken Electric Coop Inc,SC,Orangeburg County,45075
Aiken Electric Coop Inc,SC,Saluda County,45081
Aitkin Public Utilities Comm,MN,Aitkin County,27001
Ajo Improvement Co,AZ,Pima County,04019
City of Akron - (IA),IA,Plymouth County,19149
Village of Akron - (NY),NY,Erie County,36029
Alamo Power District No 3,NV,Lincoln County,32017
Akiachak Native Community Electric,AK,Bethel Census Area,02050
Alabama Power Co,AL,Autauga County,01001
Alabama Power Co,AL,Baldwin County,01003
Alabama Power Co,AL,Barbour County,01005
Alabama Power Co,AL,Bibb County,01007
Alabama Power Co,AL,Blount County,01009
Alabama Power Co,AL,Bullock County,01011
Alabama Power Co,AL,Butler County,01013
Alabama Power Co,AL,Calhoun County,01015
Alabama Power Co,AL,Chambers County,01017
Alabama Power Co,AL,Cherokee County,01019
Alabama Power Co,AL,Chilton County,01021
Alabama Power Co,AL,Choctaw County,01023
Alabama Power Co,AL,Clarke County,01025
Alabama Power Co,AL,Clay County,01027
Alabama Power Co,AL,Cleburne County,01029
Alabama Power Co,AL,Coffee County,01031
Alabama Power Co,AL,Conecuh County,01035
Alabama Power Co,AL,Coosa County,01037
Alabama Power Co,AL,Covington County,01039
Alabama Power Co,AL,Crenshaw County,01041
Alabama Power Co,AL,Cullman County,01043
Alabama Power Co,AL,Dale County,01045
Alabama Power Co,AL,Dallas County,01047
Alabama Power Co,AL,Elmore County,01051
Alabama Power Co,AL,Escambia County,01053
Alabama Power Co,AL,Etowah County,01055
Alabama Power Co,AL,Fayette County,01057
Alabama Power Co,AL,Franklin County,01059
Alabama Power Co,AL,Geneva County,01061
Alabama Power Co,AL,Greene County,01063
Alabama Power Co,AL,Hale County,01065
Alabama Power Co,AL,Henry County,01067
Alabama Power Co,AL,Houston County,01069
Alabama Power Co,AL,Jefferson County,01073
Alabama Power Co,AL,Lamar County,01075
Alabama Power Co,AL,Lawrence County,01079
Alabama Power Co,AL,Lee County,01081
Alabama Power Co,AL,Lowndes County,01085
Alabama Power Co,AL,Macon County,01087
Alabama Power Co,AL,Marengo County,01091
Alabama Power Co,AL,Marion County,01093
Alabama Power Co,AL,Marshall County,01095
Alabama Power Co,AL,Mobile County,01097
Alabama Power Co,AL,Monroe County,01099
Alabama Power Co,AL,Montgomery County,01101
Alabama Power Co,AL,Perry County,01105
Alabama Power Co,AL,Pickens County,01107
Alabama Power Co,AL,Randolph County,01111
Alabama Power Co,AL,Russell County,01113
Alabama Power Co,AL,Shelby County,01117
Alabama Power Co,AL,St. Clair County,01115
Alabama Power Co,AL,Sumter County,01119
Alabama Power Co,AL,Talladega County,01121
Alabama Power Co,AL,Tallapoosa County,01123
Alabama Power Co,AL,Tuscaloosa County,01125
Alabama Power Co,AL,Walker County,01127
Alabama Power Co,AL,Washington County,01129
Alabama Power Co,AL,Wilcox County,01131
Alabama Power Co,AL,Winston County,01133
City of Alton,IA,Sioux County,19167
City of Alachua - (FL),FL,Alachua County,12001
Town of Black Creek - (NC),NC,Wilson County,37195
City of Alameda,CA,Alameda County,06001
Alaska Electric Light&Power Co,AK,Juneau City and Borough,02110
Alaska Power and Telephone Co,AK,Haines Borough,02100
Alaska Power and Telephone Co,AK,Prince of Wales-Hyder Census Area,02198
Alaska Power and Telephone Co,AK,Skagway Municipality,02230
Alaska Power and Telephone Co,AK,,
"Alaska Village Elec Coop, Inc",AK,Bethel Census Area,02050
"Alaska Village Elec Coop, Inc",AK,Dillingham Census Area,02070
