State,County,ID
AL,Autauga County,0
AL,Baldwin County,1
AL,Barbour County,2
AL,Bibb County,3
AL,Blount County,4
AL,Bullock County,5
AL,Butler County,6
AL,Calhoun County,7
AL,Chambers County,8
AL,Cherokee County,9
AL,Chilton County,10
AL,Choctaw County,11
AL,Clarke County,12
AL,Clay County,13
AL,Cleburne County,14
AL,Coffee County,15
AL,Colbert County,16
AL,Conecuh County,17
AL,Coosa County,18
AL,Covington County,19
AL,Crenshaw County,20
AL,Cullman County,21
AL,Dale County,22
AL,Dallas County,23
AL,DeKalb County,24
AL,Elmore County,25
AL,Escambia County,26
AL,Etowah County,27
AL,Fayette County,28
AL,Franklin County,29
AL,Geneva County,30
AL,Greene County,31
AL,Hale County,32
AL,Henry County,33
AL,Houston County,34
AL,Jackson County,35
AL,Jefferson County,36
AL,Lamar County,37
AL,Lauderdale County,38
AL,Lawrence County,39
AL,Lee County,40
AL,Limestone County,41
AL,Lowndes County,42
AL,Macon County,43
AL,Madison County,44
AL,Marengo County,45
AL,Marion County,46
AL,Marshall County,47
AL,Mobile County,48
AL,Monroe County,49
AL,Montgomery County,50
AL,Morgan County,51
AL,Perry County,52
AL,Pickens County,53
AL,Pike County,54
AL,Randolph County,55
AL,Russell County,56
AL,St. Clair County,57
AL,Shelby County,58
AL,Sumter County,59
AL,Talladega County,60
AL,Tallapoosa County,61
AL,Tuscaloosa County,62
AL,Walker County,63
AL,Washington County,64
AL,Wilcox County,65
AL,Winston County,66
AK,Aleutians East Borough,67
AK,Aleutians West Census Area,68
AK,Anchorage Municipality,69
AK,Bethel Census Area,70
AK,Bristol Bay Borough,71
AK,Denali Borough,72
AK,Dillingham Census Area,73
AK,Fairbanks North Star Borough,74
AK,Haines Borough,75
AK,Hoonah-Angoon Census Area,76
AK,Juneau City and Borough,77
AK,Kenai Peninsula Borough,78
AK,Ketchikan Gateway Borough,79
AK,Kodiak Island Borough,80
AK,Lake and Peninsula Borough,81
AK,Matanuska-Susitna Borough,82
AK,Nome Census Area,83
AK,North Slope Borough,84
AK,Northwest Arctic Borough,85
AK,Petersburg Census Area,86
AK,Prince of Wales-Hyder Census Area,87
AK,Sitka City and Borough,88
AK,Skagway Municipality,89
AK,Southeast Fairbanks Census Area,90
AK,Valdez-Cordova Census Area,91
AK,Wade Hampton Census Area,92
AK,Wrangell City and Borough,93
AK,Yakutat City and Borough,94
AK,Yukon-Koyukuk Census Area,95
AZ,Apache County,96
AZ,Cochise County,97
AZ,Coconino County,98
AZ,Gila County,99
AZ,Graham County,100
AZ,Greenlee County,101
AZ,La Paz County,102
AZ,Maricopa County,103
AZ,Mohave County,104
AZ,Navajo County,105
AZ,Pima County,106
AZ,Pinal County,107
AZ,Santa Cruz County,108
AZ,Yavapai County,109
AZ,Yuma County,110
AR,Arkansas County,111
AR,Ashley County,112
AR,Baxter County,113
AR,Benton County,114
AR,Boone County,115
AR,Bradley County,116
AR,Calhoun County,117
AR,Carroll County,118
AR,Chicot County,119
AR,Clark County,120
AR,Clay County,121
AR,Cleburne County,122
AR,Cleveland County,123
AR,Columbia County,124
AR,Conway County,125
AR,Craighead County,126
AR,Crawford County,127
AR,Crittenden County,128
AR,Cross County,129
AR,Dallas County,130
AR,Desha County,131
AR,Drew County,132
AR,Faulkner County,133
AR,Franklin County,134
AR,Fulton County,135
AR,Garland County,136
AR,Grant County,137
AR,Greene County,138
AR,Hempstead County,139
AR,Hot Spring County,140
AR,Howard County,141
AR,Independence County,142
AR,Izard County,143
AR,Jackson County,144
AR,Jefferson County,145
AR,Johnson County,146
AR,Lafayette County,147
AR,Lawrence County,148
AR,Lee County,149
AR,Lincoln County,150
AR,Little River County,151
AR,Logan County,152
AR,Lonoke County,153
AR,Madison County,154
AR,Marion County,155
AR,Miller County,156
