puma_id,metro,micro,_none
0600101,1,0,0
3600704,0.354838709677419,0.645161290322581,0
1203101,1,0,0
2601003,1,0,0
4201900,0.452380952380952,0.547619047619048,0
0608506,1,0,0
2901500,0,0.357142857142857,0.642857142857143
3603804,1,0,0
2102100,0.346153846153846,0.5,0.153846153846154
2501902,1,0,0
4201804,1,0,0
5540301,1,0,0
7201101,0.857142857142857,0,0.142857142857143
4806803,1,0,0
4804625,1,0,0
0608511,1,0,0
3602903,1,0,0
5104103,1,0,0
1801803,1,0,0
4801400,1,0,0
0603721,1,0,0
0609703,1,0,0
2500704,1,0,0
1209506,1,0,0
4703208,1,0,0
3702300,0.709677419354839,0.032258064516129,0.258064516129032
0400500,1,0,0
0400202,1,0,0
4802509,1,0,0
4500105,1,0,0
2101400,0.482758620689655,0,0.517241379310345
4200900,0.763157894736842,0.236842105263158,0
2400901,1,0,0
2201502,1,0,0
2901005,1,0,0
3600702,1,0,0
0501600,0.571428571428571,0.342857142857143,0.0857142857142857
0607502,1,0,0
0603709,1,0,0
1209510,1,0,0
1207301,1,0,0
2300700,1,0,0
2401203,1,0,0
2202301,1,0,0
1800900,0.466666666666667,0.533333333333333,0
0606102,1,0,0
2600802,1,0,0
5500100,0.193548387096774,0,0.806451612903226
3800400,0.473684210526316,0,0.526315789473684
1100105,1,0,0
5151096,1,0,0
4802507,1,0,0
0606514,1,0,0
3200409,1,0,0
4805201,1,0,0
5311609,1,0,0
4805907,1,0,0
3603301,1,0,0
4202003,1,0,0
2800100,1,0,0
2401006,1,0,0
4804614,1,0,0
2701600,1,0,0
2400100,0.766666666666667,0,0.233333333333333
0601306,1,0,0
4203003,1,0,0
1205706,1,0,0
1209910,1,0,0
2400400,1,0,0
3904109,1,0,0
4804904,1,0,0
2100300,0.774193548387097,0,0.225806451612903
7200805,1,0,0
1210305,1,0,0
5541005,1,0,0
1301700,1,0,0
3604014,1,0,0
0400206,1,0,0
3200405,1,0,0
5501400,0,0.302325581395349,0.697674418604651
0609903,1,0,0
3200103,1,0,0
4804636,1,0,0
3401104,1,0,0
4805307,1,0,0
1208617,1,0,0
3501002,1,0,0
3701100,1,0,0
4802004,1,0,0
2701407,1,0,0
3400906,1,0,0
5500101,1,0,0
4804609,1,0,0
0102200,0,0,1
4804627,1,0,0
4202802,1,0,0
5401300,0,0.3,0.7
4801501,1,0,0
3603201,1,0,0
2504000,1,0,0
1703307,1,0,0
2400700,1,0,0
0608701,1,0,0
2102000,0.275862068965517,0.551724137931034,0.172413793103448
0800805,1,0,0
4101104,1,0,0
3601201,1,0,0
5311101,1,0,0
0603758,1,0,0
3401106,1,0,0
4804701,1,0,0
2902500,0,0.307692307692308,0.692307692307692
4803502,1,0,0
1800800,0,1,0
4202002,1,0,0
0800808,1,0,0
1703501,1,0,0
3701207,1,0,0
4201802,1,0,0
1600900,0,1,0
2102800,0.611111111111111,0,0.388888888888889
0900903,1,0,0
4501203,1,0,0
2601704,0.66,0.34,0
3703103,1,0,0
3700300,1,0,0
0608702,1,0,0
1208700,0.147058823529412,0.852941176470588,0
2000700,1,0,0
1210501,1,0,0
1211701,1,0,0
1802100,1,0,0
0400111,1,0,0
0900300,1,0,0
2401007,1,0,0
0400105,1,0,0
4100400,1,0,0
0606707,1,0,0
2700800,0,0.608695652173913,0.391304347826087
3100802,1,0,0
3904500,0,0.647058823529412,0.352941176470588
1301002,1,0,0
4805203,1,0,0
7200202,0.857142857142857,0,0.142857142857143
1302100,1,0,0
3602300,1,0,0
2601600,0,0,1
4805910,1,0,0
0100700,0,0.72,0.28
0608509,1,0,0
0601905,1,0,0
0900301,1,0,0
4803900,0,0.416666666666667,0.583333333333333
5151095,1,0,0
3600901,1,0,0
3401800,1,0,0
0800102,1,0,0
3704400,0.0925925925925926,0.907407407407407,0
2400200,1,0,0
3100400,0,0.514285714285714,0.485714285714286
2501600,1,0,0
4804623,1,0,0
1703008,1,0,0
5400500,0,0.205882352941176,0.794117647058824
5151186,1,0,0
4800600,0.447368421052632,0.105263157894737,0.447368421052632
1304004,1,0,0
3904103,1,0,0
0501700,0.875,0,0.125
0800700,1,0,0
3400304,1,0,0
1703204,1,0,0
5159305,1,0,0
1801802,1,0,0
1702801,1,0,0
3601206,1,0,0
3900909,1,0,0
7201002,1,0,0
3603308,1,0,0
4800300,1,0,0
0605902,1,0,0
4000702,0,0.59375,0.40625
4702600,1,0,0
1209509,1,0,0
5310300,1,0,0
2902100,0,0.44,0.56
4911001,1,0,0
0600103,1,0,0
1702000,1,0,0
1301004,1,0,0
4804622,1,0,0
0500800,0,0.565217391304348,0.434782608695652
7200201,1,0,0
1205707,1,0,0
4501102,1,0,0
0611102,1,0,0
1210101,1,0,0
1703602,1,0,0
1211300,1,0,0
0603749,1,0,0
0607504,1,0,0
1902300,0,0.733333333333333,0.266666666666667
2701410,1,0,0
3600903,1,0,0
3905403,1,0,0
3604102,1,0,0
0800400,0,0.851851851851852,0.148148148148148
3200403,1,0,0
3600902,1,0,0
1208616,1,0,0
2500702,1,0,0
3704700,1,0,0
0607107,1,0,0
1802304,1,0,0
3604009,1,0,0
0600110,1,0,0
4400400,1,0,0
4500103,1,0,0
4802321,1,0,0
0600108,1,0,0
2001200,0,0.641025641025641,0.358974358974359
2201201,1,0,0
4803306,1,0,0
4805902,1,0,0
2700500,1,0,0
4804608,1,0,0
1500302,1,0,0
2702200,0.821428571428571,0,0.178571428571429
0603769,1,0,0
3701202,1,0,0
0611101,1,0,0
4806900,0,0.909090909090909,0.0909090909090909
4801200,0.28,0.56,0.16
2601004,1,0,0
3603309,1,0,0
3904102,1,0,0
0400124,1,0,0
1211703,1,0,0
1601000,0,0.91304347826087,0.0869565217391304
3000700,1,0,0
3904108,1,0,0
1201500,1,0,0
3402202,1,0,0
2901806,1,0,0
3401903,1,0,0
1209508,1,0,0
4203603,1,0,0
2700700,0,0.457142857142857,0.542857142857143
1900700,0.619047619047619,0,0.380952380952381
1901800,0.0731707317073171,0,0.926829268292683
4802303,1,0,0
4804616,1,0,0
4203211,1,0,0
1800700,0.413793103448276,0,0.586206896551724
0500500,0.375,0.225,0.4
4501300,0,0.416666666666667,0.583333333333333
3903400,0,1,0
4203701,1,0,0
0600109,1,0,0
