DIVISION,REPORTABLE_DOMAIN,TYPEHUQ,KOWNRENT,YEARMADE,OCCUPYYRANGE,BEDROOMS,TOTROOMS,STOVEN,NUMFRIG,NUMPC,INTERNET,INDIALUP,INDSL,INCABLE,INSATEL,FUELHEAT,EMPLOYHH,SDESCENT,Householder_Race,EDUCATION,NHSLDMEM,HHAGE,WORKPAY,RETIREPY,SSINCOME,INVESTMT,MONEYPY,POVERTY100,FOODASST,DOLLAREL,DOLLARNG,DOLLARLP
4,12,2,1,2004,2,4,9,1,2,1,1,0,1,0,0,3,0,0,1,5,4,35,1,0,0,0,110000,501,0,1315,0,0
9,26,2,2,1998,2,3,4,1,1,1,1,0,0,1,0,1,0,0,2,2,6,40,1,0,0,0,32500,150,0,475,818,0
1,1,6,2,1965,7,1,2,1,1,1,1,0,1,0,0,1,0,0,1,6,1,45,1,0,0,0,77500,501,0,588,739,0
3,7,2,1,1985,24,3,7,2,2,1,1,0,0,1,0,1,0,0,1,2,1,75,0,1,0,1,37500,501,0,952,446,0
1,1,3,1,1983,24,2,5,1,1,1,1,0,1,0,0,1,0,0,1,5,1,40,1,0,0,0,87500,501,0,705,853,0
4,10,2,1,1920,24,3,6,1,1,1,1,0,0,1,0,1,0,0,1,4,2,57,1,0,0,0,17500,150,0,1050,856,0
2,3,2,1,1922,24,4,7,1,2,1,1,0,1,0,0,1,0,0,1,5,4,54,1,0,0,1,120000,501,0,2444,1860,0
5,17,2,1,1975,2,3,6,1,1,1,1,0,0,1,0,3,0,1,1,4,6,37,1,0,0,0,67500,501,1,2622,0,0
2,5,3,1,1920,14,3,7,1,1,2,-2,-2,-2,-2,-2,3,0,0,1,3,1,47,1,0,0,0,37500,501,0,1240,391,0
4,12,2,1,1955,7,3,7,1,1,1,1,0,1,0,0,1,0,0,1,3,1,52,1,0,0,0,52500,501,0,655,733,0
9,26,4,2,1950,7,2,3,1,1,2,-2,-2,-2,-2,-2,1,0,0,2,3,1,61,1,0,0,0,37500,501,0,373,388,0
2,4,2,1,1968,14,3,7,1,2,1,1,0,1,0,0,1,0,0,1,6,3,48,1,0,0,0,120000,501,0,2154,1512,0
9,27,2,2,1950,2,3,6,1,1,1,1,0,0,1,0,-2,0,0,1,1,2,54,1,0,0,0,62500,501,0,2112,0,0
5,15,6,2,1980,2,2,4,1,1,2,-2,-2,-2,-2,-2,3,0,0,1,2,1,62,1,0,0,0,22500,501,0,718,0,0
