pums	household
DIVISION	DIVISION
ST	REPORTABLE_DOMAIN
ELEP	DOLLAREL
GASP	DOLLARNG
FULP	DOLLARKER
FULP	DOLLARFO
FULP	DOLLARLP
YBL	YEARMADE
MV	OCCUPYYRANGE
HINCP	MONEYPY
TEN	KOWNRENT
NP	NHSLDMEM
CONP	CONDCOOP
BLD	NUMAPTS
BLD	TYPEHUQ
BDSP	BEDROOMS
RMSP	TOTROOMS
FS	FOODASST
ACCESS	INTERNET
MODEM	INCABLE
SATELLITE	INSATEL
DIALUP	INDIALUP
DSL	INDSL
FIBEROP	INDSL
HFL	FUELHEAT
LAPTOP	NUMPC
REFR	NUMFRIG
STOV	STOVEN
FES	EMPLOYHH
FES	SPOUSE
HISP	SDESCENT
RAC1P	Householder_Race
AGEP	HHAGE
SCHL	EDUCATION
INTP	INVESTMT
WAGP	WORKPAY
RETP	RETIREPY
SSIP	SSINCOME
POVPIP	POVERTY100
POVPIP	POVERTY150
