PUMA,CDD,HDD
100100.0,2749.0,1420.0
100200.0,1609.0,3469.0
100302.0,2271.0,1838.0
100301.0,1671.0,3262.0
100400.0,1541.0,3529.0
100500.0,1626.0,3360.0
100600.0,1558.0,3284.0
100700.0,1566.0,3439.0
100800.0,1596.0,2847.0
100900.0,384.0,6834.0
101000.0,1836.0,2763.0
101100.0,1237.0,3912.0
101200.0,3125.0,789.0
101303.0,1450.0,3622.0
101302.0,1881.0,2823.0
101301.0,1699.0,3169.0
101305.0,1271.0,3983.0
101304.0,1271.0,3983.0
101400.0,1597.0,3515.0
101500.0,1893.0,2787.0
101600.0,1908.0,2688.0
101700.0,2222.0,2321.0
101800.0,1417.0,3467.0
101900.0,1630.0,2732.0
102000.0,775.0,4457.0
102100.0,2252.0,2194.0
102200.0,2101.0,2169.0
102300.0,2245.0,2035.0
102400.0,326.0,7875.0
102500.0,2071.0,2268.0
102600.0,2262.0,1818.0
102703.0,2194.0,2434.0
102702.0,1976.0,2305.0
102701.0,2973.0,1159.0
200102.0,10.0,12113.0
200101.0,0.0,11166.0
200200.0,0.0,10672.0
200300.0,0.0,13380.0
200400.0,21.0,13887.0
400129.0,592.0,5743.0
400116.0,3488.0,1535.0
400130.0,4166.0,1173.0
400128.0,3488.0,1535.0
400121.0,3917.0,1401.0
400113.0,3296.0,1534.0
400124.0,3917.0,1401.0
400118.0,4189.0,1125.0
400105.0,3438.0,1663.0
400131.0,4379.0,1486.0
400127.0,3213.0,1453.0
400125.0,3488.0,1535.0
400117.0,3917.0,1401.0
400102.0,3737.0,1494.0
400101.0,634.0,4725.0
400103.0,3798.0,1271.0
400119.0,3213.0,1453.0
400114.0,3217.0,1760.0
400110.0,4189.0,1125.0
400134.0,1552.0,2866.0
400111.0,3644.0,1444.0
400123.0,3488.0,1535.0
400126.0,3655.0,1390.0
400132.0,3703.0,1497.0
400133.0,3703.0,1497.0
400107.0,3655.0,1390.0
400109.0,3426.0,1759.0
400112.0,3217.0,1760.0
400122.0,3213.0,1453.0
400120.0,3213.0,1453.0
400104.0,3337.0,1632.0
400108.0,3655.0,1390.0
400115.0,3217.0,1760.0
400100.0,3438.0,1663.0
400106.0,3426.0,1759.0
400202.0,3017.0,1578.0
400209.0,1879.0,2299.0
400203.0,2988.0,1510.0
400204.0,1779.0,2888.0
400206.0,2988.0,1510.0
400205.0,1739.0,2369.0
400201.0,520.0,6004.0
400207.0,2810.0,1831.0
400208.0,3017.0,1578.0
400300.0,113.0,7895.0
400400.0,41.0,8124.0
400500.0,951.0,4446.0
400600.0,3332.0,1950.0
400700.0,3785.0,1434.0
400803.0,3225.0,1709.0
400800.0,2035.0,2875.0
400805.0,3337.0,1632.0
400807.0,1956.0,2251.0
400900.0,2028.0,2416.0
500100.0,1269.0,4483.0
500200.0,1960.0,2937.0
500300.0,2452.0,2380.0
500400.0,1413.0,4249.0
500500.0,1286.0,4534.0
500600.0,1286.0,4534.0
500700.0,1867.0,3409.0
500800.0,1571.0,3848.0
500900.0,2196.0,2980.0
501000.0,2216.0,2715.0
501100.0,1425.0,4205.0
501200.0,1748.0,3278.0
501300.0,1960.0,2538.0
501400.0,1450.0,3800.0
501500.0,2057.0,2833.0
501600.0,1587.0,3857.0
501700.0,2099.0,2935.0
501800.0,2166.0,2419.0
501900.0,1973.0,2872.0
502000.0,1712.0,3716.0
600105.0,377.0,2400.0
600101.0,377.0,2400.0
600104.0,184.0,2720.0
600108.0,530.0,2367.0
600106.0,1186.0,1211.0
600110.0,786.0,2757.0
600102.0,142.0,2857.0
600109.0,142.0,2857.0
600107.0,569.0,2769.0
600103.0,142.0,2862.0
600300.0,1003.0,4314.0
600701.0,1334.0,2945.0
600702.0,1422.0,2818.0
601100.0,4388.0,903.0
601308.0,659.0,3426.0
601302.0,184.0,2720.0
601303.0,142.0,2857.0
601304.0,261.0,2810.0
601306.0,983.0,3245.0
601305.0,858.0,2755.0
601301.0,377.0,2400.0
601307.0,1726.0,2490.0
601309.0,452.0,2584.0
601500.0,314.0,5685.0
601700.0,493.0,5600.0
601907.0,788.0,4058.0
601902.0,1370.0,3616.0
601903.0,1784.0,2446.0
601904.0,1706.0,2670.0
601901.0,1784.0,2446.0
601905.0,93.0,6992.0
601906.0,1707.0,2505.0
602300.0,303.0,6839.0
602500.0,3952.0,1080.0
602901.0,1857.0,2668.0
602902.0,2286.0,2120.0
602905.0,677.0,4301.0
602903.0,1733.0,3241.0
602904.0,3236.0,1645.0
603100.0,1857.0,2538.0
603300.0,843.0,3083.0
603752.0,1506.0,928.0
603702.0,1139.0,2502.0
603708.0,1455.0,1575.0
603727.0,1455.0,1575.0
603729.0,893.0,1364.0
603732.0,959.0,1344.0
603722.0,893.0,1364.0
603715.0,1186.0,1211.0
603762.0,1837.0,949.0
603747.0,1186.0,1211.0
603705.0,1186.0,1211.0
603719.0,1837.0,949.0
603718.0,1066.0,4146.0
603706.0,1485.0,1822.0
603730.0,959.0,1344.0
603744.0,1506.0,928.0
603716.0,1712.0,1419.0
603736.0,1139.0,2502.0
603745.0,1506.0,928.0
603733.0,679.0,1274.0
603765.0,2566.0,2294.0
603724.0,1998.0,2704.0
603703.0,1733.0,3241.0
603710.0,1186.0,1211.0
603713.0,1294.0,1286.0
603721.0,1455.0,1575.0
603768.0,1258.0,3984.0
603738.0,1294.0,1286.0
603741.0,505.0,2009.0
603767.0,742.0,1526.0
603701.0,2286.0,2120.0
603757.0,1837.0,949.0
603720.0,1371.0,1560.0
603743.0,742.0,1526.0
603746.0,679.0,1274.0
603753.0,1506.0,928.0
603740.0,1837.0,949.0
603737.0,1837.0,949.0
603756.0,1186.0,1211.0
603763.0,1837.0,949.0
603704.0,1998.0,2704.0
603734.0,1506.0,928.0
603742.0,1506.0,928.0
603749.0,893.0,1364.0
603723.0,1998.0,2704.0
603707.0,1455.0,1575.0
603711.0,1191.0,1718.0
603761.0,742.0,1526.0
603717.0,742.0,1526.0
603726.0,1139.0,2502.0
603731.0,959.0,1344.0
603758.0,742.0,1526.0
603769.0,1186.0,1211.0
603735.0,1506.0,928.0
603751.0,742.0,1526.0
603714.0,1294.0,1286.0
603750.0,1186.0,1211.0
603760.0,959.0,1344.0
603712.0,1294.0,1286.0
603755.0,505.0,2009.0
603739.0,1186.0,1211.0
603766.0,679.0,1274.0
603728.0,893.0,1364.0
603759.0,866.0,1063.0
603709.0,1558.0,1398.0
603725.0,679.0,1274.0
603748.0,1801.0,2908.0
603754.0,1837.0,949.0
603764.0,369.0,9842.0
603900.0,1708.0,2672.0
604101.0,882.0,2907.0
604102.0,451.0,2621.0
604702.0,656.0,4942.0
604701.0,1547.0,2570.0
605301.0,405.0,2724.0
605303.0,882.0,2907.0
605302.0,131.0,2819.0
605500.0,717.0,2647.0
605700.0,423.0,5545.0
605901.0,2204.0,2234.0
605908.0,666.0,1756.0
605913.0,505.0,2009.0
605902.0,1294.0,1286.0
605912.0,666.0,1756.0
605904.0,1299.0,1153.0
605905.0,1313.0,1725.0
605909.0,1191.0,1718.0
605906.0,1294.0,1286.0
605914.0,543.0,1715.0
605910.0,2915.0,2228.0
605917.0,1299.0,1153.0
605916.0,1455.0,1575.0
605911.0,1299.0,1153.0
605915.0,1047.0,1514.0
605903.0,666.0,1756.0
605918.0,543.0,1715.0
605907.0,2132.0,3139.0
606101.0,1597.0,2226.0
606103.0,423.0,5545.0
606102.0,1597.0,2226.0
606512.0,666.0,1756.0
606503.0,1903.0,1914.0
606502.0,4224.0,951.0
606501.0,2922.0,2492.0
606505.0,753.0,3804.0
606510.0,1697.0,1674.0
606513.0,1534.0,1599.0
606508.0,1714.0,1904.0
606504.0,1710.0,2123.0
606515.0,4388.0,903.0
606514.0,543.0,1715.0
606506.0,1801.0,2908.0
606509.0,1697.0,1674.0
606511.0,963.0,4060.0
606507.0,1572.0,2146.0
606706.0,1597.0,2226.0
606703.0,119.0,6884.0
606709.0,1248.0,2666.0
606704.0,1248.0,2666.0
606708.0,1366.0,2992.0
606701.0,1534.0,2758.0
606710.0,1597.0,2226.0
606707.0,1248.0,2666.0
606711.0,6.0,8741.0
606702.0,1528.0,2532.0
606705.0,1597.0,2226.0
606712.0,1528.0,2532.0
607108.0,1937.0,1599.0
607110.0,1102.0,1794.0
607111.0,1863.0,1475.0
607103.0,1735.0,2929.0
607114.0,1191.0,1718.0
607115.0,1801.0,2908.0
607105.0,89.0,6548.0
607107.0,1714.0,1904.0
